av|אָב
aba|אַבָּא
aviv|אָבִיב
ev|אֵב
le'evod|לֶאֱבוֹד
lehe'aved|לְהֵיאָבֵד
le'abed|לְאַבֵּד
lehit'abed|לְהִתְאַבֵּד
leha'avid|לְהַאֲבִיד
hit'abdut|הִתְאַבְּדוּת
ibud|אִיבּוּד
aveda|אֲבֵדָה
avud|אָבוּד
le'avchen|לְאַבְחֵן
ivchun|אִיבְחוּן
le'avteach|לְאַבְטֵחַ
ivtuach|אִיבְטוּחַ
avatiach|אֲבַטִּיחַ
le'evot|לֶאֱבוֹת
evel|אֵבֶל
le'evol|לֶאֱבוֹל
aval|אֲבָל
lehit'abel|לְהִתְאַבֵּל
lehit'aben|לְהִתְאַבֵּן
even|אֶבֶן
leha'avis|לְהַאֲבִיס
lehe'avek|לְהֵיאָבֵק
ma'avak|מַאֲבָק
le'abek|לְאַבֵּק
avak|אָבָק
lehit'abek|לְהִתְאַבֵּק
lehit'abek|לְהִתְאַבֵּק
me'ubak|מְאוּבָּק
ibuk|אִיבּוּק
leha'avik|לְהַאֲבִיק
abir|אַבִּיר
le'egod|לֶאֱגוֹד
le'aged|לְאַגֵּד
lehe'aged|לְהֵיאָגֵד
lehit'aged|לְהִתְאַגֵּד
eged|אֶגֶד
aguda|אֲגוּדָּה
agida|אֲגִידָה
ugda|אוּגְדָּה
hit'agdut|הִתְאַגְּדוּת
igud|אִיגּוּד
egoz|אֱגוֹז
agam|אֲגַם
le'egof|לֶאֱגוֹף
le'agef|לְאַגֵּף
agaf|אֲגַף
iguf|אִיגּוּף
egron|אֶגְרוֹן
ma'agar|מַאֲגָר
igeret|אִיגֶּרֶת
le'egor|לֶאֱגוֹר
lehit'agref|לְהִתְאַגְרֵף
lehit'adot|לְהִתְאַדּוֹת
iduy|אִידּוּי
hit'adut|הִתְאַדּוּת
ed|אֵד
le'adot|לְאַדּוֹת
ma'adim|מַאֲדִים
adamdam|אֲדַמְדַּם
ademet|אַדֶּמֶת
adam|אָדָם
adom|אָדוֹם
adama|אֲדָמָה
leha'adim|לְהַאֲדִים
ne'edar|נֶאְדָּר
adir|אַדִּיר
le'ehov|לֶאֱהוֹב
lehit'ahev|לְהִתְאַהֵב
ahava|אַהֲבָה
ahuv|אָהוּב
me'ohav|מְאוֹהָב
lehe'ahev|לְהֵיאָהֵב
ohed|אוֹהֵד
le'ehod|לֶאֱהוֹד
le'ehoah|לֶאֱהוֹהַּ
ohel|אוֹהֶל
o|אוֹ
avir|אֲווִיר
leha'it|לְהָאִיט
ta'ava|תַּאֲווָה
le'avot|לְאַוּוֹת
lehit'avot|לְהִתְאַוּוֹת
uchlusiya|אוּכְלוּסִיָּה
ulay|אוּלַי
universita|אוּנִיבֶרְסִיטָה
la'utz|לָאוּץ
leha'itz|לְהָאִיץ
leha'ir|לְהָאִיר
or|אוֹר
te'ura|תְּאוּרָה
me'ura|מְאוּרָה
ma'or|מָאוֹר
le'avrer|לְאַווְרֵר
lehit'avrer|לְהִתְאַווְרֵר
ivrur|אִיווְרוּר
le'avshesh|לְאַווְשֵׁשׁ
ivshush|אִיווְשׁוּשׁ
lehe'ot|לְהֵיאוֹת
le'otet|לְאוֹתֵת
ot|אוֹת
ot|אוֹת
az|אָז
le'azker|לְאַזְכֵּר
le'ezol|לֶאֱזוֹל
leha'azin|לְהַאֲזִין
le'azen|לְאַזֵּן
lehit'azen|לְהִתְאַזֵּן
ozen|אוֹזֶן
ha'azana|הַאֲזָנָה
izun|אִיזּוּן
le'ezok|לֶאֱזוֹק
lehit'azer|לְהִתְאַזֵּר
ezor|אֵזוֹר
le'ezor|לֶאֱזוֹר
ach|אָח
le'ached|לְאַחֵד
lehit'ached|לְהִתְאַחֵד
achdut|אַחְדוּת
ichud|אִיחוּד
hit'achadut|הִתְאַחֲדוּת
achid|אָחִיד
leha'achid|לְהַאֲחִיד
me'uchad|מְאוּחָד
ha'achada|הַאֲחָדָה
achot|אָחוֹת
le'echoz|לֶאֱחוֹז
lehe'achez|לְהֵיאָחֵז
achuz|אָחוּז
le'achot|לְאַחוֹת
lehit'achot|לְהִתְאַחוֹת
achyan|אַחְייָן
achyanit|אַחְייָנִית
le'achel|לְאַחֵל
le'achsen|לְאַחְסֵן
ichsun|אִיחְסוּן
le'acher|לְאַחֵר
achor|אָחוֹר
achar|אַחַר
achora|אָחוֹרָה
me'achorei|מֵאֲחוֹרֵי
achorayim|אֲחוֹרַייִם
acher|אַחֵר
acharon|אַחֲרוֹן
lehit'acher|לְהִתְאַחֵר
iti|אִיטִּי
at|אַט
leha'et|לְהָאֵט
le'etom|לֶאֱטוֹם
lehe'atem|לְהֵיאָטֵם
i|אִי
oyev|אוֹיֵב
eiva|אֵיבָה
eivar|אֵיבָר
le'ayed|לְאַייֵּד
aya|אַיָּה
eich|אֵיךְ
eichut|אֵיכוּת
ilu|אִילּוּ
iyum|אִיּוּם
le'ayem|לְאַייֵּם
eima|אֵימָה
ayom|אָיוֹם
ein|אֵין
le'ayen|לְאַייֵּן
eifo|אֵיפֹה
iyur|אִיּוּר
le'ayer|לְאַייֵּר
le'ayesh|לְאַייֵּשׁ
le'ayet|לְאַייֵּת
le'achzev|לְאַכְזֵב
lehit'achzev|לְהִתְאַכְזֵב
me'uchzav|מְאוּכְזָב
lehit'achzer|לְהִתְאַכְזֵר
le'echol|לֶאֱכוֹל
lehe'achel|לְהֵיאָכֵל
le'akel|לְאַכֵּל
leha'achil|לְהַאֲכִיל
ochel|אוֹכֶל
achlan|אַכְלָן
le'achles|לְאַכְלֵס
le'achsen|לְאַכְסֵן
lehit'achsen|לְהִתְאַכְסֵן
le'echof|לֶאֱכוֹף
lehe'achef|לְהֵיאָכֵף
ichpat|אִכְפַּת
el|אֶל
al|אַל
ele|אֵלֶה
ala|אַלָּה
elu|אֵלוּ
elohim|אֱלוֹהִים
le'alchesh|לְאַלְחֵשׁ
alachson|אֲלַכְסוֹן
lehe'alem|לְהֵיאָלֵם
alim|אַלִּים
ilem|אִילֵּם
almoni|אַלְמוֹנִי
lehit'almen|לְהִתְאַלְמֵן
le'alef|לְאַלֵּף
elef|אֶלֶף
aluf|אַלּוּף
lehe'aletz|לְהֵיאָלֵץ
le'aletz|לְאַלֵּץ
ilutz|אִילּוּץ
le'alter|לְאַלְתֵּר
em|אֵם
im|אִם
ima|אִמָּא
le'emod|לֶאֱמוֹד
lehe'amed|לְהֵיאָמֵד
amid|אָמִיד
le'amlel|לְאַמְלֵל
lehe'amen|לְהֵיאָמֵן
leha'amin|לְהַאֲמִין
lehit'amen|לְהִתְאַמֵּן
me'amen|מְאַמֵּן
uman|אוּמָּן
omnam|אוֹמְנָם
imun|אִימּוּן
le'amen|לְאַמֵּן
amin|אָמִין
oman|אוֹמָּן
omanut|אוֹמָּנוּת
emuna|אֱמוּנָה
amen|אָמֵן
umanut|אוּמָּנוּת
le'ametz|לְאַמֵּץ
lehit'ametz|לְהִתְאַמֵּץ
le'emotz|לֶאֱמוֹץ
amitz|אַמִּיץ
ma'amatz|מַאֲמָץ
ometz|אוֹמֶץ
amur|אָמוּר
lehe'amer|לְהֵיאָמֵר
leha'amir|לְהַאֲמִיר
imra|אִמְרָה
lomar|לוֹמַר
ma'amar|מַאֲמָר
leha'amir|לְהַאֲמִיר
le'amet|לְאַמֵּת
lehit'amet|לְהִתְאַמֵּת
amiti|אֲמִיתִּי
amita|אֲמִיתָּה
emet|אֱמֵת
imut|אִימּוּת
amitut|אֲמִיתּוּת
anu|אָנוּ
anochi|אֲנוֹכִי
lehe'aneach|לְהֵיאָנֵחַ
lehit'aneach|לְהִתְאַנֵּחַ
anachnu|אֲנַחְנוּ
ani|אֲנִי
le'anot|לְאַנּוֹת
oniya|אֳנִייָּה
lehit'onen|לְהִתְאוֹנֵן
le'onen|לְאוֹנֵן
le'enos|לֶאֱנוֹס
lehe'anes|לְהֵיאָנֵס
