אָב|<a>v|father
אַבָּא|<a>ba|dad, father
אָבִיב|av<i>v|spring (season)
אֵב|<e>v|bud, shoot (of a plant) (lit.)
לֶאֱבוֹד|le'ev<o>d|to be lost, to stray, to perish
לְהֵיאָבֵד|lehe'av<e>d|to be lost, to perish
לְאַבֵּד|le'ab<e>d|to lose, to destroy
לְהִתְאַבֵּד|lehit'ab<e>d|to commit suicide
לְהַאֲבִיד|leha'av<i>d|to destroy, to demolish, to cause utter loss
הִתְאַבְּדוּת|hit'abd<u>t|suicide
אִיבּוּד|ib<u>d|loss, disappearance
אֲבֵדָה|aved<a>|loss
אָבוּד|av<u>d|lost; hopeless
לְאַבְחֵן|le'avch<e>n|to diagnose, to analyse
אִיבְחוּן|ivch<u>n|check, diagnosis; diagnostics
לְאַבְטֵחַ|le'avt<e>ach|to secure, to protect
אִיבְטוּחַ|ivt<u>ach|protection, guarding, securing
אֲבַטִּיחַ|avat<i>ach|watermelon
לֶאֱבוֹת|le'ev<o>t|to desire, to want (archaic)
אֵבֶל|<e>vel|mourning
לֶאֱבוֹל|le'ev<o>l|to grieve, to mourn (על) (lit.)
אֲבָל|av<a>l|but, however
לְהִתְאַבֵּל|lehit'ab<e>l|to mourn, to grieve (על)
לְהִתְאַבֵּן|lehit'ab<e>n|to turn into stone
אֶבֶן|<e>ven|stone
לְהַאֲבִיס|leha'av<i>s|to feed (livestock)
לְהֵיאָבֵק|lehe'av<e>k|to struggle, to wrestle
מַאֲבָק|ma'av<a>k|strife, struggle, fight
לְאַבֵּק|le'ab<e>k|to powder, to grind to dust
אָבָק|av<a>k|dust, powder
לְהִתְאַבֵּק|lehit'ab<e>k|to wrestle, to struggle
לְהִתְאַבֵּק|lehit'ab<e>k|to become dusty
מְאוּבָּק|me'ub<a>k|dusty
אִיבּוּק|ib<u>k|֔powdering; dusting
לְהַאֲבִיק|leha'av<i>k|to pollinate
אַבִּיר|ab<i>r|knight; nobleman
לֶאֱגוֹד|le'eg<o>d|to bind together, to tie up (lit.); to unite
לְאַגֵּד|le'ag<e>d|to unite, to join together
לְהֵיאָגֵד|lehe'ag<e>d|to be bound together, united
לְהִתְאַגֵּד|lehit'ag<e>d|to unite, to form a union
אֶגֶד|<e>ged|bundle, bunch (lit.); bandage
אֲגוּדָּה|agud<a>|union, association
אֲגִידָה|agid<a>|binding, bundling (dated)
אוּגְדָּה|ugd<a>|division (army)
הִתְאַגְּדוּת|hit'agd<u>t|union, corporation
אִיגּוּד|ig<u>d|union, organisation
אֱגוֹז|eg<o>z|nut (food)
אֲגַם|ag<a>m|lake
לֶאֱגוֹף|le'eg<o>f|to outflank
לְאַגֵּף|le'ag<e>f|to outflank
אֲגַף|ag<a>f|branch, department; flank
אִיגּוּף|ig<u>f|outflanking, flanking
אֶגְרוֹן|egr<o>n|thesaurus, dictionary (dated)
מַאֲגָר|ma'ag<a>r|reserve, stockpile; reservoir
אִיגֶּרֶת|ig<e>ret|note, message
לֶאֱגוֹר|le'eg<o>r|to stockpile, to store
לְהִתְאַגְרֵף|lehit'agr<e>f|to box (to fight)
לְהִתְאַדּוֹת|lehit'ad<o>t|to evaporate; to disappear
אִידּוּי|id<u>y|vaporization; simmering
הִתְאַדּוּת|hit'ad<u>t|evaporation
אֵד|<e>d|vapour, steam (usually in pl.)
לְאַדּוֹת|le'ad<o>t|to vaporize, to evaporate; to simmer, to poach
מַאֲדִים|ma'ad<i>m|Mars (the planet)
אֲדַמְדַּם|adamd<a>m|reddish
אַדֶּמֶת|ad<e>met|rubella, German measles
אָדָם|ad<a>m|man, person, human being (also בֶּן אָדָם, plural: בְּנֵי אָדָם)
אָדוֹם|ad<o>m|red
אֲדָמָה|adam<a>|earth, soil, ground; land
לְהַאֲדִים|leha'ad<i>m|to become red, to redden, to blush
נֶאְדָּר|ne'ed<a>r|great, exalted, splendid, magnificient
אַדִּיר|ad<i>r|great, mighty, powerful
לֶאֱהוֹב|le'eh<o>v|to love
לְהִתְאַהֵב|lehit'ah<e>v|to fall in love (with) (ב-)
אַהֲבָה|ahav<a>|love
אָהוּב|ah<u>v|beloved, loved
מְאוֹהָב|me'oh<a>v|in love with (ב־)
לְהֵיאָהֵב|lehe'ah<e>v|to be loved
אוֹהֵד|oh<e>d|fan (sports), supporter
לֶאֱהוֹד|le'eh<o>d|to sympathise (את), to support a sports team
לֶאֱהוֹהַּ|le'eh<o>a(h)|to wail, to howl (rare)
אוֹהֶל|<o>hel|tent
